Date,XOM_Close,XOM_Volume,Crude_Close,Crude_Volume,XLE
10/24/2001,39.860001,12944800,22.33,83793,26.799999
10/25/2001,40.560001,10624700,22.01,59013,27.48
10/26/2001,41.060001,7607600,22.03,53171,28.01
10/29/2001,40.68,7502300,22.15,60312,27.75
10/30/2001,39.459999,10704400,21.87,56500,26.82
10/31/2001,39.450001,10031200,21.18,96594,26.860001
11/1/2001,40.490002,9657100,20.39,82000,27.27
11/2/2001,39.759998,6733400,20.18,84104,26.530001
11/5/2001,39.389999,11013900,20.02,54896,26.370001
11/6/2001,39.470001,11956600,19.92,63123,26.209999
11/7/2001,39.080002,10909200,20.09,61742,26.32
11/8/2001,39.5,10376400,21.17,88967,26.83
11/9/2001,40.25,7886400,22.22,92707,27.35
11/12/2001,40.060001,6826800,21.23,86546,27.280001
11/13/2001,40.5,8589200,21.67,89422,27.5
11/14/2001,38.700001,17174900,19.74,126797,26.16
11/15/2001,37.189999,23268200,17.45,86459,24.84
11/16/2001,37.540001,19030100,18.03,66721,25.299999
11/19/2001,37.009998,14306300,17.72,66721,25.24
11/20/2001,37.959999,14734800,19.15,77042,26.17
11/21/2001,37.880001,8165400,18.96,68382,25.83
11/23/2001,38.439999,4286300,18.96,68382,26.07
11/26/2001,37.77,9741300,18.69,53657,25.639999
11/27/2001,37.349998,17340600,19.48,88162,25.66
11/28/2001,37.099998,9617900,19.22,91757,25.059999
11/29/2001,37.450001,8727500,18.62,61745,25.49
11/30/2001,37.400002,11246000,19.44,71678,25.360001
12/3/2001,37.66,14895900,20.09,80890,25.700001
12/4/2001,38.310001,10647200,19.65,76991,26.059999
12/5/2001,38.880001,16500300,19.49,72548,26.6
12/6/2001,37.330002,15664100,18.54,80176,25.809999
12/7/2001,38.07,9949200,19.04,73257,25.98
12/10/2001,37.549999,9827200,18.37,61037,25.620001
12/11/2001,36.810001,12167800,18.08,66894,25.200001
12/12/2001,37.419998,10129100,18.36,80615,25.26
12/13/2001,36.439999,15932100,18.12,80705,24.85
12/14/2001,36.860001,11362400,19.23,69865,25.1
12/17/2001,37.470001,12363700,19.22,62709,25.040001
12/18/2001,37.549999,10264600,19.36,62709,25.370001
12/19/2001,38.349998,13299900,19.8,70955,25.950001
12/20/2001,38.299999,12066500,19.28,67602,25.83
12/21/2001,38.5,25322600,19.62,46791,25.9
12/24/2001,39,4913700,19.62,46791,26.33
12/26/2001,39.599998,9961800,21.27,61256,26.790001
12/27/2001,39.790001,7395400,20.9,49650,26.879999
12/28/2001,39.779999,8007800,20.41,58326,27
12/31/2001,39.299999,8730500,19.84,36403,26.700001
1/2/2002,39.599998,11261900,21.01,69560,26.5
1/3/2002,39.66,10128200,20.37,64010,26.34
1/4/2002,40,8052100,21.62,84832,26.459999
1/7/2002,39.650002,9945700,21.48,64080,26.450001
1/8/2002,39.700001,8278000,21.25,59541,26.219999
1/9/2002,39.240002,10036700,20.18,98408,26.25
1/10/2002,39.389999,7847500,20.38,69788,26.049999
1/11/2002,38.5,9459000,19.68,65806,25.549999
1/14/2002,38.639999,10142900,18.89,89429,25.24
1/15/2002,39.299999,9488500,18.9,72231,25.65
1/16/2002,38.5,8913000,18.86,84392,25.120001
1/17/2002,38.639999,7479600,17.97,67448,25.110001
1/18/2002,38.400002,10301800,18,45383,24.9
1/22/2002,38.02,7158800,18.34,45383,24.719999
1/23/2002,38.900002,9892700,19.5,77790,25.42
1/24/2002,38.799999,10113800,19.7,83907,25.77
1/25/2002,39.16,8516200,19.99,77987,26.049999
1/28/2002,38.959999,8097600,20.05,75269,25.65
1/29/2002,37.950001,11849500,19.58,67139,24.950001
1/30/2002,38.689999,11733400,19.08,93923,25.15
1/31/2002,39.049999,11115000,19.48,73520,25.75
2/1/2002,39,9518300,20.38,122999,25.889999
2/4/2002,38.349998,10086100,20.07,59644,25.200001
2/5/2002,38.330002,10948500,20.07,60424,25.030001
2/6/2002,38.919998,10385500,19.78,79320,25.200001
2/7/2002,38.299999,9027100,19.64,68275,24.91
2/8/2002,38.290001,8731100,20.26,74748,25.190001
2/11/2002,38.5,8757900,21.41,89214,25.52
2/12/2002,38.400002,7334000,20.73,83735,25.4
2/13/2002,38.639999,10065900,21.18,99165,25.549999
2/14/2002,39,10044600,21.23,69434,25.76
2/15/2002,38.900002,10471300,21.5,57209,25.780001
2/19/2002,38.77,9863600,20.88,53799,25.549999
2/20/2002,38.990002,7279900,20.29,51724,25.469999
2/21/2002,39.150002,12312000,20.95,83271,25.77
2/22/2002,40.720001,17838900,21.07,54622,26.48
2/25/2002,41,11503400,20.48,67270,26.860001
2/26/2002,40.720001,10048000,21.41,88209,26.719999
2/27/2002,40.919998,13939600,21.29,99210,26.700001
2/28/2002,41.299999,12889700,21.74,92963,26.629999
3/1/2002,42,12683700,22.4,122518,27.01
3/4/2002,42.650002,11899900,22.45,63683,27.6
3/5/2002,42.5,10761400,23.17,93354,27.610001
3/6/2002,43.209999,14752500,23.15,81722,28.139999
3/7/2002,42.889999,11770000,23.71,139178,28.35
3/8/2002,42.91,10804100,23.84,83043,28.219999
3/11/2002,43.490002,12173400,24.31,72020,28.52
3/12/2002,44,12907500,24.2,79368,28.77
3/13/2002,43.119999,14394400,24.16,92386,28.58
3/14/2002,43.240002,8734500,24.56,77016,28.57
3/15/2002,43.610001,16069300,24.51,70845,28.68
3/18/2002,43.740002,8586400,25.11,53764,28.9
3/19/2002,43.799999,8110200,24.88,45524,29.25
3/20/2002,43.529999,8208600,24.9,41028,28.940001
3/21/2002,43.529999,7374000,24.87,41028,29.1
3/22/2002,43.470001,9326600,25.35,72805,28.42
3/25/2002,42.849998,9524500,24.99,62975,28.16
3/26/2002,43.740002,11368000,25.36,68558,28.389999
3/27/2002,43.950001,11202200,25.87,70567,29.049999
3/28/2002,43.830002,9657600,26.31,94042,28.889999
4/1/2002,43.830002,8932900,26.88,75570,29.09
4/2/2002,44.380001,8986700,27.71,96819,29.450001
4/3/2002,43.689999,12815300,27.56,67829,28.809999
4/4/2002,43.150002,13766200,26.58,124694,28.290001
4/5/2002,42.630001,11357400,26.21,128123,27.969999
4/8/2002,43.240002,9313100,26.54,89698,28.4
4/9/2002,42.720001,9255600,25.82,85388,27.99
4/10/2002,43.18,10407300,26.13,78861,28.309999
4/11/2002,42.400002,8666900,24.99,91627,28.02
4/12/2002,41.299999,13028800,23.47,107582,27.1
4/15/2002,41.599998,11332300,24.57,91996,27.629999
4/16/2002,42.279999,10538700,24.75,63752,28.15
4/17/2002,42.220001,9391500,25.94,77858,28.5
4/18/2002,42.459999,9623300,26.18,53055,28.639999
4/19/2002,42.52,8592400,26.38,43787,28.77
4/22/2002,41.849998,8650900,26.27,43787,28.49
4/23/2002,41.349998,19170900,26.62,84735,28.42
4/24/2002,40.299999,13102000,26.38,71283,27.91
4/25/2002,40.540001,11666000,26.73,91408,28.110001
4/26/2002,40,10046600,27.11,66177,27.799999
4/29/2002,39.700001,10034600,27.57,74728,27.620001
4/30/2002,40.169998,12714700,27.29,91603,27.85
5/1/2002,40.689999,9875800,26.75,82535,28.02
5/2/2002,40.799999,9258500,26.24,115257,28.23
5/3/2002,40.59,11052000,26.62,77340,28.33
5/6/2002,39.25,9591800,26.12,66351,27.360001
5/7/2002,39.099998,8866500,26.63,102456,27.23
5/8/2002,40.009998,12585200,27.85,131472,27.799999
5/9/2002,39.360001,8352500,27.68,99314,27.549999
5/10/2002,38.959999,9037300,27.99,81056,27.530001
5/13/2002,40.009998,8910800,28.38,79146,28.059999
5/14/2002,40.580002,9816600,29.36,92828,28.139999
5/15/2002,39.709999,9883100,28.15,94526,27.67
5/16/2002,40.27,7911800,27.95,93916,27.99
5/17/2002,40.200001,9978700,28.18,51136,27.76
5/20/2002,39.59,8056800,28.33,59717,27.57
5/21/2002,39.77,9555500,27.33,59717,27.59
5/22/2002,40.43,8328600,26.37,94506,28.049999
5/23/2002,40.900002,11039400,26.15,90710,28.290001
5/24/2002,40.23,7827400,25.88,75877,27.98
5/28/2002,39.84,8668600,25.27,75323,27.76
5/29/2002,40.299999,9989900,25.76,81993,27.5
5/30/2002,39.349998,13837500,24.67,93622,26.969999
5/31/2002,39.93,12150200,25.31,91770,27.360001
6/3/2002,39.080002,10263900,25.08,46563,26.5
6/4/2002,39.23,10105900,25.33,59607,26.5
6/5/2002,39.560001,12714700,24.89,71889,26.4
6/6/2002,39.150002,10671400,24.79,102811,26.120001
6/7/2002,39.419998,10863500,24.75,62466,26.389999
6/10/2002,39.130001,7657000,24.29,64609,25.9
6/11/2002,39.029999,10123900,24.12,78478,25.51
6/12/2002,39.700001,11070400,24.64,80443,25.870001
6/13/2002,39.360001,9612100,25.64,96298,25.84
6/14/2002,39.150002,10659300,25.94,77902,25.809999
6/17/2002,40.029999,10600800,26.09,62018,26.48
6/18/2002,39.93,8531000,25.43,54329,26.35
6/19/2002,39.369999,8469900,25.31,58779,26.09
6/20/2002,39.740002,12189700,25.53,58779,26.040001
6/21/2002,39.25,24886600,25.82,117304,25.719999
6/24/2002,40,13250200,26.47,84379,25.950001
6/25/2002,39.599998,13526300,26.32,92024,25.84
6/26/2002,39.450001,14191000,26.76,113254,25.85
6/27/2002,40.25,11142300,26.86,83716,25.98
6/28/2002,40.919998,13780900,26.86,76097,26.200001
7/1/2002,40.650002,10499000,26.81,43853,25.950001
7/2/2002,40.16,11871500,26.77,64641,25.440001
7/3/2002,39.91,10466200,26.8,62869,25.6
7/5/2002,40.52,5859600,26.8,62869,26.200001
7/8/2002,40.360001,9932500,26.07,75606,25.879999
7/9/2002,39.799999,10620500,26.09,84852,25.559999
7/10/2002,38.23,17564900,26.77,97914,24.469999
7/11/2002,37.099998,20845000,26.83,68630,24
7/12/2002,36.529999,16154100,27.48,79858,23.57
7/15/2002,35.75,23645400,27.07,82132,23.049999
7/16/2002,35.200001,19740700,27.75,91317,22.700001
7/17/2002,35.610001,16858000,27.88,95724,22.950001
7/18/2002,34.75,15296800,27.57,47748,22.799999
7/19/2002,32.400002,27638900,27.83,52888,21.4
7/22/2002,30.27,36083000,26.6,52888,20.09
7/23/2002,30.92,33082700,26.31,95985,19.799999
7/24/2002,33.93,39491200,26.87,119298,21.110001
7/25/2002,33.900002,26839400,26.77,77084,21.02
7/26/2002,35.09,15832500,26.54,77208,21.299999
7/29/2002,36.330002,16119400,26.55,40501,22.530001
7/30/2002,35.669998,17310000,27.36,99519,22.18
7/31/2002,36.759998,18178800,27.02,80323,22.57
8/1/2002,33.650002,21654000,26.47,90196,21.24
8/2/2002,33.610001,16048500,26.84,86753,21
8/5/2002,32.5,12727000,26.58,57855,20.219999
8/6/2002,33.400002,13252700,27.17,69997,20.950001
8/7/2002,34.299999,13860900,26.5,98451,21.25
8/8/2002,36,15591700,26.67,67364,22.15
8/9/2002,36.099998,12980800,26.86,63831,22.549999
8/12/2002,35.73,9439000,27.86,115665,22.5
8/13/2002,34.84,9547400,27.9,84880,22.16
8/14/2002,36.389999,11688300,28.15,86360,23.030001
8/15/2002,37.139999,11510300,29.06,88688,23.68
8/16/2002,36.849998,11337900,29.33,71324,23.299999
8/19/2002,37.16,9356000,29.84,71751,23.49
8/20/2002,36.18,11069800,30.11,71751,22.9
8/21/2002,36.439999,11093700,29.24,112193,22.950001
8/22/2002,37.029999,9142900,28.84,65778,23.6
8/23/2002,36.150002,7933400,28.63,68064,23.219999
8/26/2002,36.669998,7253700,29.28,77471,23.530001
8/27/2002,36.900002,12466500,28.83,107534,23.52
8/28/2002,35.619999,9397500,28.34,96651,22.959999
8/29/2002,35.389999,9310000,28.92,74524,22.76
8/30/2002,35.450001,9368500,28.98,54317,22.91
9/3/2002,33.619999,14548800,27.79,108086,22
9/4/2002,33.82,13640900,28.27,84573,21.950001
9/5/2002,33.77,11370000,28.98,75147,21.99
9/6/2002,34.310001,10377600,29.61,97863,22.35
9/9/2002,34,9958300,29.73,71398,22.32
9/10/2002,34.790001,8178000,29.73,88228,22.799999
9/11/2002,34.599998,7353100,29.77,52310,22.68
9/12/2002,33.59,9552000,28.85,114011,22.120001
9/13/2002,34.080002,9357400,29.81,93353,22.360001
9/16/2002,34.400002,7673900,29.67,64197,22.52
9/17/2002,33.07,12224900,29.08,85894,21.790001
9/18/2002,33.200001,10012900,29.48,45421,21.85
9/19/2002,32.360001,10140000,29.5,48810,21.23
9/20/2002,32.869999,21231700,29.61,48810,21.27
9/23/2002,32.720001,10427600,30.71,88670,21.15
9/24/2002,31.950001,13701000,30.77,94152,20.540001
9/25/2002,32.610001,12000200,30.64,80282,21.1
9/26/2002,34.150002,13715800,30.41,76279,21.99
9/27/2002,32.82,12682200,30.54,76301,21.58
9/30/2002,31.9,19363000,30.45,68291,21.16
10/1/2002,33.919998,16805900,30.83,97932,21.83
10/2/2002,32.650002,19597200,30.49,100866,21.59
10/3/2002,33.18,18259400,29.76,103426,21.73
10/4/2002,33.060001,15938100,29.62,87634,21.360001
10/7/2002,33.189999,13892400,29.64,69618,21.09
10/8/2002,32.700001,17219700,29.48,87763,20.860001
10/9/2002,32.830002,17765000,29.35,74571,20.450001
10/10/2002,33.790001,16141900,28.97,91013,20.93
10/11/2002,34.540001,11921300,29.37,68090,21.280001
10/14/2002,34.93,8033300,30.03,83156,21.870001
10/15/2002,36.299999,18042600,29.72,71539,22.530001
10/16/2002,35.529999,13574500,29.47,60915,22.18
10/17/2002,36.299999,10699300,29.62,61627,22.65
10/18/2002,36,12215000,29.6,45144,22.629999
10/21/2002,36,10410300,28.37,61967,22.74
10/22/2002,35.18,13355000,27.92,61967,22.1
10/23/2002,35.130001,12338700,28.18,91970,22.459999
10/24/2002,34.669998,9756800,28.2,71182,22.09
10/25/2002,35.110001,11126200,27.05,140626,21.75
10/28/2002,34.639999,8998200,27.29,103266,21.709999
10/29/2002,33.23,15179700,26.86,70205,21.08
10/30/2002,34.080002,14989100,26.81,107849,21.780001
10/31/2002,33.66,19459100,27.22,73556,21.549999
11/1/2002,34.66,12021700,27.13,87317,22.120001
11/4/2002,34.259998,12400600,26.95,101816,21.75
